preset_name,reg_idx,reg_name,hex_value
Off,0,vLOUT,0x0000
Off,1,vROUT,0x0000
Off,2,mBASE,0x0000
Off,3,dAPF1,0x0000
Off,4,dAPF2,0x0000
Off,5,vIIR,0x0000
Off,6,vCOMB1,0x0000
Off,7,vCOMB2,0x0000
Off,8,vCOMB3,0x0000
Off,9,vCOMB4,0x0000
Off,10,vWALL,0x0000
Off,11,vAPF1,0x0000
Off,12,vAPF2,0x0000
Off,13,mLSAME,0x0001
Off,14,mRSAME,0x0001
Off,15,mLCOMB1,0x0001
Off,16,mRCOMB1,0x0001
Off,17,mLCOMB2,0x0001
Off,18,mRCOMB2,0x0001
Off,19,dLSAME,0x0000
Off,20,dRSAME,0x0000
Off,21,mLDIFF,0x0001
Off,22,mRDIFF,0x0001
Off,23,mLCOMB3,0x0001
Off,24,mRCOMB3,0x0001
Off,25,mLCOMB4,0x0001
Off,26,mRCOMB4,0x0001
Off,27,dLDIFF,0x0000
Off,28,dRDIFF,0x0000
Off,29,mLAPF1,0x0001
Off,30,mRAPF1,0x0001
Off,31,mLAPF2,0x0001
Off,32,mRAPF2,0x0001
Off,33,vLIN,0x0000
Off,34,vRIN,0x0000
Room,0,vLOUT,0x0000
Room,1,vROUT,0x0000
Room,2,mBASE,0x0000
Room,3,dAPF1,0x007d
Room,4,dAPF2,0x005b
Room,5,vIIR,0x6d80
Room,6,vCOMB1,0x54b8
Room,7,vCOMB2,0xbed0
Room,8,vCOMB3,0x0000
Room,9,vCOMB4,0x0000
Room,10,vWALL,0xba80
Room,11,vAPF1,0x5800
Room,12,vAPF2,0x5300
Room,13,mLSAME,0x04d6
Room,14,mRSAME,0x0333
Room,15,mLCOMB1,0x03f0
Room,16,mRCOMB1,0x0227
Room,17,mLCOMB2,0x0374
Room,18,mRCOMB2,0x01ef
Room,19,dLSAME,0x0334
Room,20,dRSAME,0x01b5
Room,21,mLDIFF,0x0000
Room,22,mRDIFF,0x0000
Room,23,mLCOMB3,0x0000
Room,24,mRCOMB3,0x0000
Room,25,mLCOMB4,0x0000
Room,26,mRCOMB4,0x0000
Room,27,dLDIFF,0x0000
Room,28,dRDIFF,0x0000
Room,29,mLAPF1,0x01b4
Room,30,mRAPF1,0x0136
Room,31,mLAPF2,0x00b8
Room,32,mRAPF2,0x005c
Room,33,vLIN,0x8000
Room,34,vRIN,0x8000
Studio A,0,vLOUT,0x0000
Studio A,1,vROUT,0x0000
Studio A,2,mBASE,0x0000
Studio A,3,dAPF1,0x0033
Studio A,4,dAPF2,0x0025
Studio A,5,vIIR,0x70f0
Studio A,6,vCOMB1,0x4fa8
Studio A,7,vCOMB2,0xbce0
Studio A,8,vCOMB3,0x4410
Studio A,9,vCOMB4,0xc0f0
Studio A,10,vWALL,0x9c00
Studio A,11,vAPF1,0x5280
Studio A,12,vAPF2,0x4ec0
Studio A,13,mLSAME,0x03e4
Studio A,14,mRSAME,0x031b
Studio A,15,mLCOMB1,0x03a4
Studio A,16,mRCOMB1,0x02af
Studio A,17,mLCOMB2,0x0372
Studio A,18,mRCOMB2,0x0266
Studio A,19,dLSAME,0x031c
Studio A,20,dRSAME,0x025d
Studio A,21,mLDIFF,0x025c
Studio A,22,mRDIFF,0x018e
Studio A,23,mLCOMB3,0x022f
Studio A,24,mRCOMB3,0x0135
Studio A,25,mLCOMB4,0x01d2
Studio A,26,mRCOMB4,0x00b7
Studio A,27,dLDIFF,0x018f
Studio A,28,dRDIFF,0x00b5
Studio A,29,mLAPF1,0x00b4
Studio A,30,mRAPF1,0x0080
Studio A,31,mLAPF2,0x004c
Studio A,32,mRAPF2,0x0026
Studio A,33,vLIN,0x8000
Studio A,34,vRIN,0x8000
Studio B,0,vLOUT,0x0000
Studio B,1,vROUT,0x0000
Studio B,2,mBASE,0x0000
Studio B,3,dAPF1,0x00b1
Studio B,4,dAPF2,0x007f
Studio B,5,vIIR,0x70f0
Studio B,6,vCOMB1,0x4fa8
Studio B,7,vCOMB2,0xbce0
Studio B,8,vCOMB3,0x4510
Studio B,9,vCOMB4,0xbef0
Studio B,10,vWALL,0xb4c0
Studio B,11,vAPF1,0x5280
Studio B,12,vAPF2,0x4ec0
Studio B,13,mLSAME,0x0904
Studio B,14,mRSAME,0x076b
Studio B,15,mLCOMB1,0x0824
Studio B,16,mRCOMB1,0x065f
Studio B,17,mLCOMB2,0x07a2
Studio B,18,mRCOMB2,0x0616
Studio B,19,dLSAME,0x076c
Studio B,20,dRSAME,0x05ed
Studio B,21,mLDIFF,0x05ec
Studio B,22,mRDIFF,0x042e
Studio B,23,mLCOMB3,0x050f
Studio B,24,mRCOMB3,0x0305
Studio B,25,mLCOMB4,0x0462
Studio B,26,mRCOMB4,0x02b7
Studio B,27,dLDIFF,0x042f
Studio B,28,dRDIFF,0x0265
Studio B,29,mLAPF1,0x0264
Studio B,30,mRAPF1,0x01b2
Studio B,31,mLAPF2,0x0100
Studio B,32,mRAPF2,0x0080
Studio B,33,vLIN,0x8000
Studio B,34,vRIN,0x8000
Studio C,0,vLOUT,0x0000
Studio C,1,vROUT,0x0000
Studio C,2,mBASE,0x0000
Studio C,3,dAPF1,0x00e3
Studio C,4,dAPF2,0x00a9
Studio C,5,vIIR,0x6f60
